review,translate,sentimen
"terimakasih kak anak suka bgt smoga awet amin
penjual ramah bgt kurir juga ramah bgt makasi kak ya
next order lagi","Thank you sis, the children like it very much, I hope it lasts amen, the seller is very friendly, the courier is also very friendly, thank you sis, next order again",1
"pisaunya bagus banget.

cmn kontaknya sudah robek. ",the knife is really good. cmn contact has been torn.,0
barang bagus untuk harganya. walaupun tc agak bermasalah dibagian bawah tapi msh cukup bs digunakan. fisik layar lumayan lecet pemakaian.,great item for the price. even though tc is a bit problematic at the bottom but it's still quite usable. the physical screen is quite scratched from use.,0
"bagus sama di gambar pengiriman cepat tpi syg ga nyampe rumah,,makasih lazada","it's as good as in the picture fast delivery but unfortunately it didn't arrive at home, thanks lazada",0
"untuk harga dan penggunaan, gamepad ini bener bener enak banget. opsi terbaik kalau mau punya gamepad tapi gak punya budget yang cukup. build qualitynya juga oke. pemakaian sudah sekitar hampir 1 bulan dan suka, semoga awet","for the price and use, this gamepad is really really good. the best option if you want to have a gamepad but don't have enough budget. the build quality is also okay. I've been using it for almost a month and I like it, hope it lasts",1
barang sdh dtng dan sdh dipakai tap rice cookernya terlalu panas dan nasi cpt kering dan 1 lg itu rice cooker bodynya knp kok mur2an😔.. mudah2an awet lah 👍,"The item has arrived and has been used, but the rice cooker is too hot and the rice dries quickly, and why is the rice cooker body so cheap... I hope it lasts",0
Pelayanan yg sangat buruk,very bad service,0
"Fitur Terbaik:kondisi mulus dan pas di tangan saya yg lumayan besar
Sepadan dengan Harga:dengan harga segini in mouse sudah yg terbaik

hanya saja paket datang degan penyok padahal sudah di beri peringatan mudah pecah jadi untuk pihak kurir mohon di perhatikan paketannya",best features: smooth condition and fits in my hand which is quite large commensurate with the price: at this price the in mouse is the best it's just that the package comes with a dent even though I have been given a warning it is easy to break so for the courier please pay attention to the package,0
"Padahal sudah saya tulis dicatatan kalau minta warna ungu, tapi yg dikirim malah warna hijau🤦🏻‍♀️ Packing-nya juga gak amaaan, sampe barang keluar dari bubble wrap, padahal mau dijadiin kado.
Yaa semoga kualitas barang bisa mengurangi kekecewaan saya..","even though I wrote down notes that I asked for purple, but what was sent instead was green, the packaging was also not safe, until the item came out of the bubble wrap, even though I wanted it to be a gift. Well, hopefully the quality of the goods can reduce my disappointment..",0
"untuk keseluruhan bagus, admin fast respon. sempet beli k68m katanya stok habis, disuruh ganti. ternyata pas dateng malah rexus, terimakasih. cuma ada bbrp box yg gepeng","for the whole good, admin fast response. I bought it, they said it was out of stock, I was told to replace it. it turned out that when it came it was even rexus, thank you. there are only a few flat boxes",0
"Barang pas datang tidak mau menyala, harus dipancing dulu pakai chargeran lain baru mau hidup. Charger juga diawal tidak berfungsi. Port charger dari awal hp datang sudah miring posisinya tidak lurus. Mengecewakan
","When the item arrives it won't turn on, you have to fish it first using another charger then it will turn on. the charger also didn't work at first. the charger port from the beginning of the cellphone arrived was tilted, not straight. disappointing",0
Agak ngelag sedikit. Pengiriman cepat.,a little bit laggy. fast delivery.,1
"Harga:terjangkau
Kualitas:standar
Ukuran:standar

Pancinya bgus syang ad bgian yg penyok resiko belanja online 😭😭😭",price: affordable quality: standard size: standard the pot is good which has a dent in the risk of online shopping,0
Barang bagus banget! Sudah dicoba semuanya berfungsi trimakasih...,really good stuff! already tried everything works thanks.,1
"Alhmhdullillah udh dtg barangnya tpi knpa suara blender nya kaser bgt ya suara nya, biasanya klo baru agak halus suara nya,  
     Oya until blender yg kcil yg dry koq ga bsa muter ya,  apa ada yg salah ya, jdi bngung ga bsa di pkerjaan yg kecil 😥😥😥,  mksh LAzada abg kurir nya jga🙏🙏","alhmhdullillah the goods have arrived but why is the blender's sound so loud, the sound is usually rather smooth, ok until the small blender is dry, how come it can't play, is there something wrong, so I can't do small jobs , thanks lazada for the courier too",0
"Worth it lah, semua berfungsi normal. semoga awet..

tapi entah perasaan gw aja atau emang kurang responsif di tombol A nya","it's worth it, everything works normally. I hope it lasts... but I don't know if it's just my feeling or it's just not responsive on the A button",0
"Baguss,, packing sangat rapi sekali, pengiriman cepat,, barang orisinil.. Harga standar,, 
Model barang bagus","good ,, very neat packing , fast delivery ,, original goods .. standard price ,, good model of goods",1
"barang bagus, tp syg ga terpakai dikira all type taunya ga masuk","good stuff, but I don't think it's used, it's thought that all types don't work",0
"Mantupzz suaranya jernih, pokonya ga ada masalah👍👍","great clear sound, basically no problem",1
"Pesanan 2 pcs, barang yang diterima cuma satu saja, sangat kecewa","pcs order, only one item received, very disappointed",0
"Good packing, good delivery, real product TQ :)
Note : buat yg bingung ngaktifin bonus internet : 1.regis kartu, tunggu smpai terkonfirmasi. 2. Habiskan 100mb internetn. 3.isi pulsa (jgn isi paket tp pulsa) 50rb /lebih, Tunggu notifikasi bonusnya & selamat. Atau tanyakan ke tokoponsel terdekat.","good packing, good delivery, real product tq :) note: for those who are confused about activating the internet bonus: register the card, wait until it's confirmed. . spend mb internetn. Fill in pulses (don't fill in packets but pulses) rb or more, wait for the bonus notification & congratulations. or ask the nearest mobile phone shop.",0
Sgt bagus dan tebal dan berat. Sukaaaa banget :)),very nice and thick and heavy. really like :)),1
suaranya bocor keluar jadi kalo buat pake discord sambil main suara masuk ke mic,the sound leaks out so if you use discord while playing the sound goes into the mic,0
"Ok Mantap
Cuman Baterai nya Minus
Tdk berfungsi","ok, great, but the battery is minus, it doesn't work",0
"Mantap, 2 hari nyampe, makasih min,sukses terus buat fantech","great, the day arrived, thanks admin, continued success for fantech",1
"Packing rapi, setrikanya menyala dengan baik, terimakasih seller","neat packing, the iron works fine, thank you seller",1
berfungsi dengan baik dan original,works fine and is original,1
"respon penjual cepet, barang bagus, untuk kelengkapannya lengkap kok, btw ini keeb mecha pertama saya 😁, Build quality-nya terbaik.","The seller's response was fast, the item is good, the equipment is complete, btw this is my first keeb mecha, the build quality is the best.",1
Alhamdulillah sudah mendarat dalam dinginnya hujan dan gelapnya malam,alhamdulillah landed in the cold rain and dark night,0
Pelayanannya bagus tp utk barang tidak tau sebab utk hadiah,the service is good but for goods I don't know why it's for gifts,0
Kualitas baguss nggak lengkett,good quality not sticky,1
"Terima kasih, gan! Produk sesuai deskripsi, respon penjual sangat cepat. Sukses selalu, gan!","thank you, bro! The product corresponds to the description, the seller's response was very fast. always success, bro!",1
"Produk bagus, RGB nya nyala dengan baik, mic bagus, pengiriman cukup cepat, hari ini coba pesen keyboard dan mouse juga karena cukup puas dengan merk rexus. ","good product, rgb turns on well, mic is good, delivery is quite fast, today I ordered a keyboard and mouse too because I'm quite satisfied with the rexus brand.",1
Yeahhh barang sudah mendarat dengan aman...makasih kurir sukses buat seller,yeah the item has landed safely. thanks to the successful courier for the seller,1
barang yg diterima penyok. tidak baik.,the item received is dented. not good.,0
Barangnya lumayan bagus mas... tapi kenapa ya kalo lagi pake tiba tiba ngga nyambung harus di offkan dulu trus di onkan baru bisa lagi mas atau karena batere?? ,"the stuff is pretty good. but why is it that if I'm using it suddenly it doesn't connect, I have to turn it off first then turn it on and then it can work again or is it because of the battery??",0
"bahannya tebel banhet,mamahku sangat suka😍😍","the material is too thick, my mom really likes it",0
"Barang sampai selamat cuma kardus penyok parah padahal sudah di bubble wrap dikarenakan proses pengiriman, mouse tapi masih berfungsi, terima kasih","the goods arrived safely, only the cardboard was badly dented even though it had been bubble wrapped due to the shipping process, the mouse was still working, thank you",0
Semua packingan aman. Ceretnya juga berfungsi dengan baik warnanya cantik respon seller juga cepat,"all packing is safe. the kettle also works well, the color is beautiful, the seller's response is also fast",1
Alhamdulillah pesanan udah sampai barang nya bagus. Ok real fick cuman batrenya cpt ngedrop,alhamdulillah the order has arrived the goods are good. ok real fick but the battery is dropping fast,0
"Setelah beli, chat ga dibales2, eh barang udh sampe aja, bikin deg2an","after buying, the chat is not answered, uh, the goods have just arrived, I made it with enthusiasm",0
Pengiriman cepat pengemasannya pun rapih,fast delivery well packaged,1
Dikirim barang rusak padahal butuh cepat,sent damaged goods when needed quickly,0
kecil tp tebal 👌,small but thick,0
Mantapsss jossss,joss steady,1
Bagus sudah diterima dan dicoba. Nasinya pulen cuma sayang katanya anti lengket tapi masih lengket,"well received and tried. the rice is fluffier, it's just a shame they say it's non-sticky but it's still sticky",0
bagus memuaskan....ga ada yg penyok...mksih lazada,good satisfying. no dents. thanks lazada,1
"mantap, mesen make gojek jam 5 sore, jam 7 kurang udah sampe.

gilee ini mouse worth it banget, boxnya aja walaupun plastik tp terkesan sangat premium. mouse sendiri nyaman dipake dan ga berasa delay untuk ngegame.  minusnya cuman tombol macro nya terlalu empuk dan gampang kepencet. 

batrenya super awet, udh make 2 minggu + RGB on masih nyisa 30%. tapi sekarang scroll wheelnya agak keset, kalo di puter kadang bunyi","great, I ordered a gojek in the afternoon, the hour was not enough. gilee, this mouse is really worth it, even though the box is plastic, it seems very premium. The mouse itself is comfortable to use and doesn't feel delayed for gaming. the minus is that the macro button is too soft and easy to press. The battery is super durable, I've used it for weeks + rgb on and still have % left. but now the scroll wheel is a bit mat, when I turn it sometimes it makes a sound",0
"Pesanan sdh diterima dgn baik. Sempet ada bocor dan minta tukar dgn produk yg diatas type yg dibeli. Seller sangat kooperatif dan baik. Pelayanannya bagus dan sabar. Thanks a lot ya... Semoga sukses selalu 👍🏼
",order is well received. there was a leak and asked to exchange it with the product above the type purchased. seller is very cooperative and kind. service is good and patient. thanks a lot yes. Good luck always,1
produk kereeennnn...tp cara ngidupin lampunya gmn ya? 🤭,cool product. but how do you turn on the light?,0
"Tp kalo ngg ada sarangannya, gmn cara utk buat bandeng prestonya ya did? ","but if you don't have a filter, what's the way to make milkfish presto?",0
Terimakasih,Thank You,1
Produk nya sudah kami terima cuma kami TDK terima free gift boxnya yg sesuai promosinya,"We have received the product, but we didn't receive the free gift box according to the promotion",0
Produk sesuai. Pengiriman cepat dan packing bagus padahal pakai yg bebas ongkir. ,appropriate product. fast delivery and good packaging even though using free shipping.,1
Baru dipake 1 bulan sudah rusak. Control panel tiba² konslet keluar api. ,Only used for a month already damaged. the control panel suddenly shorted out the fire.,0
bagus keren tapi sayang tutupnya kurang kenceng jd bunyinya kurang nyaring. buat kurirnya.... tau.... aja spa yg pesen pdhl udh was2 ga nyampe krn salah no alamat rumah. sip cepat tanggap ,"cool, but it's a shame the lid isn't tight enough so the sound isn't loud enough. for the courier. know. it's just the spa that ordered it, but it didn't arrive because the address number was wrong. quick response",0
"Pengiriman cepet banget, langsung dicoba, semoga awet, terima kasih","very fast delivery, try it right away, hope it lasts, thank you",1
"Cuma pengiriman nya super telat, sampai hampir ngajuin pengembalian barang","only the delivery was super late, to the point where I almost asked for a return of goods",0
"mantap selain barang nya yg ok,packing nya pun tebal","great besides the good stuff, the packing is also thick",1
admin nya baik dan gercep. gosend nya jg cepet. sejauh ini HP berjalan baik.. semoga awet.. makasi yaa ka,the admin is nice and fast. Gosend is also fast. so far the cellphone is running well.. hopefully it lasts.. thanks sis,1
"Pelayanan dr seller baik, responsif dan pengirimannya cepet
untuk produknya sendiri,dari feel enak klik enak bentuknya enak dan lumayan ringan
tapi yang bikin kecewa suka ga responsif kalo make mode wireless sayang soalnya mungkin banyak yg beli ini buat dipake wirelessnya apalagi ini kan mouse gaming
mungkin kalo beli lebih baik ke versi yang kabel soalnya selain wirelessnya itu mouse ini lumayan","the service from the seller is good, responsive and the delivery is fast for the product itself, from a good feel to a good click, the shape is nice and quite light, but what makes me disappointed is that it's not responsive when using wireless mode, it's a shame because maybe a lot of people buy this to use wireless, especially if this is a gaming mouse, maybe If you buy it, it's better to go to the wired version, because apart from being wireless, this mouse is not bad",0
Nunggu bsk atau lusa,waiting for tomorrow or the day after tomorrow,0
"Makazi abang. Berhubung kamera aing burik, ini ada secercah foto monski dengan meonk. Mamake senang, sayeu pun senang. Sukses trooooosssssssssssssssssss. Barakallahu fiik!
#Ps. Sorry for the late rating","thanks brother. Since the camera is a bit dotted, here is a glimmer of a photo of Monski and Meonk. Mamake is happy, Sayeu is happy too. tros success. barakallahu fiik! #ps. sorry for the late rating",1
"respon penjual cepat dan ramah, Sound mantap Nyaman dan praktis tinggal plug and play, banyak bonusnya pula.. sangat memuaskan...","the seller's response is fast and friendly, the sound is steady, comfortable and practical, just plug and play, lots of bonuses too... very satisfying.",1
Mewah bangeettt....  Sayang tempat yang bagian dalem pecah.. Tempatnya aja sih,damn luxurious. it's a shame the place where the inside is broken... just the place,0
"Fast respond, barangnya juga in good quality","fast response, the goods are also in good quality",1
Alhamdulillah paket nya sudah menyampai dengan keadaan selamat tanpa ada kekurangan mau pun kerusakan.Pengemasan nya juga rapi kotak.Pengiriman nya juga cepat cuma 4 harian dari Bandung ke Banjarmasin.Respon penjual juga cepat dan baik Kurir nya juga ramah next order hp di sinilgiTerima kasih shopee,"thank God the package has arrived safely without any flaws or damage. the packaging is also neat and boxed. the delivery is also fast, only daily from Bandung to Banjarmasin. the seller's response is also fast and good, the courier is also friendly",1
(-) slow respon ,(-) slow response,0
"Produk ori &amp; segel, packing rapat &amp; aman","ori & seal product, packing tight & safe",1
Jos,jos,1
Trima kasih seller full bonus baru kali ini beli hape banyak bonusnya rekomen semoga awet dan manfaat,"Thank you, seller, full bonus. This is the first time buying a cell phone, lots of bonuses. Recommendations, hopefully it will last and be useful",1
brang ok tlong dunk tko msa beli dua ongkirny mhal bgt kdu beli satu2 gx bisa beli lngsung dua jdi gx bisa ngrit ongkirny,"the goods are ok, please don't bother buying two.",0
"Fitur Terbaik:HP nya ga bisa di Gunakan,,tochskreen nya eror,,batre cepat abis,,lemot
Sepadan dengan Harga:harga mahal kalo Kondisi Hp sperti itu mah","the best features: the cellphone can't be used, the touchscreen has an error, the battery runs out quickly, the slowness is commensurate with the price: the price is expensive if the condition of the cellphone is like that",0
Barangnya diterima dg keadaan baik.. terimakasih,the goods are received in good condition.. thank you,1
"Belum dites sih,semoga ga ada masalah.
Mantaaaapp.Respon cepat,proses cepat,kirim cepat.","Haven't tested it yet, hopefully there's no problem. great, fast response, fast processing, fast shipping.",1
"Tampilan:bagus
Kualitas:bagus

Bagus... Barang mulus gak ada cacat, kardusnya pun mulus walau cuma dikemas plastik aja gak pake buble. Kurirnya aja agak lama.","display:good quality:good good. the goods are smooth, there are no defects, the cardboard is smooth even though it's just packaged in plastic, not using bubbles. the courier took a while.",0
cuma pergantian dari 1-2-3 ga begitu spesifik,just a change of -- not very specific,0
brng berfungsi dengan baik trmksh ,bird works well thanks,1
Alhamdulillah pesanan tablet sdh sampai dengan baik pengiriman cepat serta kurir nya baik. Terimakasih seller dan Lazada sukses selalu buat seller yg amanah,"alhamdulillah the tablet order has arrived well, the delivery is fast and the courier is good. thank you seller and lazada success is always for a trusted seller",1
thanks 👌😁 saya suka,thanks i like it,1
"Produk baik, original, barang sesuai deskripsi. Sampai rumah d coba langsung nyala. Packing rapi, semuanya baik. Kecuali 1 yg bikin kurang hepi, packingnya luuaammmaaaaaa... Masukan aja buat pengelola toko, mohon hari kerjanya d tambah atau mungkin karyawan bagian packing yang di tambah. Makasih. ","good product, original, item according to the description. got home d try directly on. neat packing, all good. except for those that make you less happy, the packaging is luuaama. Just input for the store manager, please add more working days or maybe add additional packing staff. Thanks.",1
"bagus bet pink nya, kualitas mantab enak ditekan, kabel nya jg kuat","the pink bet is good, the quality is great, it's easy to press, the cable is also strong",1
"Barang sudah sampai dengan selamat di BOGOR
Packing Rapih dan Tebal, Kualitas Barang sesuai dengan Harga, yang paling penting tidak mengecewakan dan rekomendasi saller.","the goods have arrived safely in bogor, the packaging is neat and thick, the quality of the goods is according to the price, the most important thing is not to disappoint and the seller's recommendation.",1
"Barang sampai dengan selamat, waktu dipakai lumayan enak cuman untuk tempat penyimpanan usbnya mudah lepas jadi kalo kena guncangan bisa lepas usbnya

Selebihnya udah ok","the item arrived safely, when it was used it was pretty good but for the usb storage it was easily detached so if you get a shock you can remove the usb the rest is ok",0
build in nya warbyazzahhh,the build in is warbyazzah,1
"bagus barang nya,packing nya juga aman banget,terus di kasih bonus gelang,keren banget gelang nya,rekomend beli di sini karena murah dan bagus","the item is good, the packaging is also very safe, then given a bonus bracelet, the bracelet is really cool, I recommend buying here because it's cheap and good",1
"G puas brg nya pd penyok, UK kecil bgt ","I'm not satisfied that the goods are dented, the size is really small",0
Ga nyala nih. ,it doesn't work.,0
"Warna barang tidak sesuai, penjual respon lambat banget, walau barang bagus tapi tidak sesuai warna pesanan makasih","the color of the item doesn't match, the seller's response is very slow, even though the item is good but it doesn't match the color ordered, thanks",0
"paketnya mendarat rapi dan memuaskan, terima kasih Lazada ini kesekian kalinya pesan dan tidak mengecewakan. kurir nya sih om yang ramah ❣️","the package landed neatly and satisfactorily, thank you lazada this is the umpteenth time ordering and it doesn't disappoint. the courier is friendly uncle",1
"Overall produknya bagus, tapi kardusnya agak penyok sama keycapsnya kurang rapih. Trus keyboardnya sempet kayak ngetik sendiri gitu (seperti yg ada di video), alhamdulillahnya pas chat admin, admin langsung gercep ngasih solusi, dan masalah selesai, terima kasih banyak 😊.","overall the product is good, but the cardboard is a bit dented and the keycaps are not neat. then the keyboard was like typing on its own like that (like the one in the video), thank God when I chatted with the admin, the admin was quick to give a solution, and the problem was solved, thank you very much.",0
"Real pict packing rapih pengiriman cepat, memuaskan","real pict packing neat fast delivery, satisfying",1
bagus teko nya meskipun suaranya kurang nyaring..makasih lazada,the teapot is nice even though the sound isn't loud...thanks lazada,1
"Barang sudah sampai dgn aman dan cepat ... Packing rapih 
Barang sesuai pesanan... 
Terima kasih ",item arrived safely and quickly. Neat packing of goods according to the order. Thank You,1
Ternyata datangnya kecil tapi gpp l,it turns out that it came small but it's okay,1
Barang sampai sesuai jadwal. Dan sudah ditest. Terimakasih,item arrived on schedule. and already tested. Thank You,1
Barangnya bagus cuman minusnya krna tdk ada batreinya sesuai diiklan.,the item is good but the minus is because there is no battery according to the advertisement.,0
"Fitur Terbaik:kurang baik

Hai kak,kok ada goresan ny yah yg warna hitam bantu jawab yah kk","the best feature: not good hi sis, how come there are scratches on the black ones? help answer, bro",0
"Sepadan dengan Harga:harga cocok dengan barang nya

Barang bagus sudah sampai dengan selamat walaupun packing annya Adak buruk, dan juga pengirimannya agak lama","commensurate with the price: the price matches the goods, the goods are good, they arrived safely, even though the packaging is a bit bad, and also the delivery is a bit long",1
Ga lengket lagi,not sticky anymore,0
"Produk sesuai deskripsi, respon cpt, good seller","product according to the description, fast response, good seller",1
Bgus brngnya... cm pengirimannya aja yg agk sedikit lma... ,good stuff. cm the delivery is a bit long.,0
"Mantap, barang sesuai dan sampai dengan selamat","Great, item fits and arrived safely",1
"Mouse normal gk ad kendala, cmn packing nya cuman di bungkus koran","Normal mouse doesn't have any problems, only the packing is wrapped in newspaper",0
"Mantap ini seller nya.... Ramah. Baik. Pokok nya the besss...
Barang yang 1 kardus nya penyok dikit, tapigakapapa lah. Yang penting udah dikasih buble wrap...
Thanks ya kak","this is a great seller. friendly. Good. the main thing is the bes. the cardboard box is a little dented, but that's okay. the important thing is already given bubble wrap. thanks sis",1
"barang sampai dengan bagus gan, cuma sayangnya JNE lelet banget, mesen pake paket YES nyampe nya kayak reguler, over all oke gan","the goods arrived in good condition, bro, but unfortunately it was really slow, I ordered using the package, yes, it arrived like regular, over all, it's okay, bro",0
"manteup sekali pasang langsung tokcer, semoga awet","manteup once installed it works, hopefully it lasts",1
"Delivery cepat.
Tab saat ini berfungsi baik.
Card IM3 sudah expired 30nov21 saat Tab diterima sehingga tidak bisa dipakai.",fast delivery. current tab works fine. the im card has expired nov when the tab is received so it can't be used.,0
Nasi matang merata 👍. Nasinya tahan lama 🍚.,evenly cooked rice. long lasting rice.,0
Lumayan cuman mousepad sedikit bengkok sama di ujung ujung warnanya berubah,"it's pretty good, but the mousepad is a little crooked and at the ends the color changes",0
"Barang bagus sesuai pesanan..
Muluuuuusssss karena SPEED EDITION",good stuff according to the order...smooth because of the speed edition,1
"Sesuai pesanan, bagus, cepat sampai,terjangkau.. terima kasih..","as ordered, good, arrived quickly, affordable.. thank you..",1
pengiriman lumayan cepat,pretty fast delivery,1
"Sebenarnya ada harga yang lebih worth untuk ini, tapi ga apa, saya kasih bintang 5 untuk design-nya aja, meski bahannya sangat-sangat plastik. Oh iya catatan mungkin ada beberapa orang yang mikir kenapa ga simetris, sebenarnya perlu sedikit “dipaksa” untuk jadi simetris sampai ada bunyi klek. Walaupun dikasih kertas manual singkat, tapi disana cuman tertera “diputar”, sampai banyak orang pasti mikir kenapa kok mentok dan ga simetris, ternyata itu tuh harus sedikit dipaksa biar “klek” (mengunci). Overall ga ada yang cacat, dan terima kasih pengiriman juga cepat.","actually there is a more worthy price for this, but that's okay, I'll just give a star for the design, even though the material is very, very plastic. oh yeah, note that maybe some people are thinking why it's not symmetrical, actually it needs to be a little ""forced"" to be symmetrical until there is a clicking sound. even though they were given a brief paper manual, but there it only says ""played"", so many people must be thinking why it's stuck and not symmetrical, it turns out that you have to force it a little so that it ""clunks"" (locks). Overall nothing is wrong, and thank you for the fast delivery.",0
"mantap 👍

plat dudukan kurang besar",great plate holder is not big enough,0
cepat,fast,1
"eksos kipas udah dipasang lumayan anginnya mah jadi dingin kamar, Makasih buat bang kulir, Cepet juga sampainya barangnya semoga amanah terus tokonya","The exos fan has been installed, the wind is quite cool, the room is cold, thanks for the trowel, the goods arrived quickly, I hope the shop will continue to be trustworthy",1
"baru dipakai 1 hari langsung tidak bisa konek PC,dan hp

edit : respon toko bagus barang berfungsi kembali","I just used it the other day, I can't connect to PC, and cellphone. Edit: Good store response, things are working again",0
"Tampilan:ok
Performa:bagus

Tapi ukuran 26cm SMA sama panci ku yg di rumah ukuran 24... Maaf gak sempet foto",display: ok performance: good but the size is cm the same size as my pot at home. sorry no photo,0
"Sepadan dengan Harga:murah meriah
Fitur Terbaik:mudah""an berguna dgn baik

Terimakasih bonusnya,mantulllll👍👍👍","commensurate with the price: cheap, the best features: hopefully it works well, thanks for the bonus, bounce",1
"Kualitas gak main main, bahan bagus, ukuran gokil, warnanya sih cakep banget, tapi karena ukurannya yang gede bikin dia jadi cukup berat,  tapi jadi buat si deskmat gak gampang gerak. memuaskan. gokil","the quality is not playing games, the material is good, the size is crazy, the color is really pretty, but because of the big size it makes it quite heavy, but for the deskmat it's not easy to move. satisfying. crazy",0
"katanya lengkap dengan dudukan, e tau2 yg datang mesinnya doang. 
kecewa dengan toko ini tidak amanah. muda2han jang keulang lagi sama orang lain. ","he said it was complete with a stand, and you know the one that came was the engine. disappointed with this store is not trustworthy. hopefully it will happen again with other people.",0
"Kerdusnya robek dn penyok untung barangnya aman
Awalnya ngira gk berfungsi krn pas di coba jusnya gk bisa nyala..eh ternyata kudu pake gelas/wadahnya baru bisa nyala itupun gelasnya harus bener² nancep ke dalam 
Jadi buat yg bilang jusnya gk berfungsi coba ikuti saranku di atas/bisa tanya ke penjual","the box was torn and dented, luckily the item was safe, at first I thought it wouldn't work because when I tried the juice it couldn't turn on... well it turns out I have to use a glass/container and then it can turn on and even then the glass has to really sink in so for those who say the juice doesn't work try to follow my advice above / can ask the seller",0
"Thankyou gan barangnya sudah nyampe di rumah nihh,  barangnya bagus bangetttt nih sesuai yg aku inginkan,  thanks","thankyou, bro, the goods have arrived at home, the goods are really good, what I want, thanks",1
Kompor gass 🔥🔥🔥,gas stove,1
"Kualitasnya sesuai lah harganya, habis liat reviewnya di reviewgadget jadi cus beli dan memang oke","the quality is suitable for the price, after seeing the review on reviewgadget, so I bought it and it was okay",1
barang datang kondisi penyok...untuk seller dan juga jasa pengiriman mohon untuk lebih teliti dalam menangani pesanan costumer ,"the goods come in dented conditions. for sellers and also delivery services, please be more careful in handling customer orders",0
Datengnya lama banget.. barang ok lah,it's been a long time coming... it's ok,0
Pengemasan agak lama sih.. pesanan lengkap ngga ada yang kurang 1 pun.,"the packaging took a while... the order was complete, nothing was missing.",0
"Barang dtng mulus tanpa cacat,respon penjual ny jg cepat dan baik..thnks yaaa...","the goods came smoothly without defects, the seller's response was fast and kind..thnks ya.",1
barang kualitas bagus. Tetapi proses sampai pengiriman kurang cepat,good quality item. but the process until delivery is not fast enough,0
"Baru pertama belanja disini, awalnya sempat was-was, namun ternyata Alhamdulillah sangat memuaskan, hitungan menit order langsung diproses. Packaging bagus otomatis dapet bubble wrap, barang bagus sesuai foto dan deskripsi. Keyboard langsung bisa dipakai tanpa setup. Di kardusnya ada keyboard, manual, kartu garansi dan alat untuk melepas tombol. Buat yang di Surabaya, mending beli disini daripada order ke Jakarta, harganya cuma selisih sedikit kok, bisa gosend langsung sampai langsung pakai. Semoga awet lah ini.","this is the first time shopping here, at first I was worried, but thank God it was very satisfying, in a matter of minutes the order was immediately processed. good packaging automatically got bubble wrap, good stuff according to photos and descriptions. the keyboard can be used directly without setup. in the box there is a keyboard, manual, warranty card and a tool to remove the keys. For those in Surabaya, it's better to buy here than ordering to Jakarta, the price is only a little different, you can send it directly to use it immediately. hope this lasts.",1
yang datang merek lain kecewa,those who came from other brands were disappointed,0
thanks gan barang dah sampai :D,"thanks, bro, the item has arrived :d",1
"enteng banget mouseny, pake batre AA, bener2 silent click.","The mouse is really light, uses AA batteries, really silent clicks.",0
"Barang bagus, hrga terjangkau, tapi pas di masukin galin agak goyang gtu dispenser nya saking mini nya, but worth it, smoga awet, thank you seller ","good item, affordable price, but when you put the gallon in it shakes a bit, the dispenser is so mini, but it's worth it, I hope it lasts, thank you seller",1
"Alhamdulillah tablet normal bagus, harga bersaing, packing aman, pengiriman cepat
jazakumullah 😊🙏","alhamdulillah good normal tablets, competitive prices, safe packing, fast delivery jazakumullah",1
biar pun barang nya kurang memuaskan kondisi touchscren baret parah toko nya amanah kurir nya ramah,"even though the item is unsatisfactory, the condition of the touchscreen is badly scratched, the shop is trustworthy, the courier is friendly",0
cakep,handsome,1
"barangnya bagus blm di coba semoga awet,","the item is good, haven't tried it yet, hope it lasts",1
"Headset nya bagus untuk di harga segitu, mau aku kasih bintang 5 gk jadi karena pengiriman terlalu lama","the headset is good for that price, I want to give it no stars because the delivery took too long",0
barang dah dtg tdinya ngmg kosong tp trs ada tp nasinya kok kuning ya kl dah agak lama ,"the item arrived but it was empty but it was still there but how come the rice is yellow, it's been a while",0
"barang sampai dengan selamat, packing rapi aman dengan bubble wrap, barang sudah di coba sejauh ini bagus berfungsi dengan normal semua, semoga barangnya awet.
untuk penjualnya juga cukup cepat responnya dan komunikatif, proses pemesananannya juga cepat.
untuk pengirimannya baik sesuai estimasi","the goods arrived safely, the packaging is neat and safe with bubble wrap, the goods have been tried so far, everything is working normally, I hope the goods will last. for the seller, the response is also quite fast and communicative, the ordering process is also fast. delivery is good as estimated",1
"tombolnya ada beberapa yang dipencet itu suka ketanem, ga usah ekpektasi tinggi","there are a few buttons that are pressed like ketanem, don't have high expectations",0
brg sesuai pesanan.. recommended Seller,goods as ordered..recommended seller,1
Sesuai dengan harga..respon baik santun..terimakasih mas lur..,in accordance with the price..response well mannered..thank you mas lur..,1
"belum dicoba sih tapi penjual respon cepet bgt, jumat sore pesen langsung dikirim, minggu sore udh nyampe, rekomended seller","haven't tried it yet but the seller's response is really fast, Friday afternoon the order was sent straight away, Sunday afternoon it arrived, recommended seller",1
"pengiriman cepat,barang oke. thank's seller and kurir","fast delivery, item ok. thank's seller and courier",1
"Pisaunya baguss, keren banget, terimakasih banyak seller","the knife is great, very cool, thank you very much seller",1
"Fitur Terbaik:okeh
Sepadan dengan Harga:lumayan lah buat sehari hari

Jelek banget😎.............tapi boong mwehehehe🗿😂.keren banget g nyesel deh beli di toko ini👍🏿🤟",best features: okay worth the price: not bad for everyday it's really ugly.,0
Dispenser kecil baru sekali ganti galon langsung patah ,the small dispenser just changed the gallon once it broke immediately,0
Bagussss dan mantappss,nice and steady,1
