web-scraper-order,web-scraper-start-url,review,rating,pesanan,tanggal_pesan,Label,Label,,
1701446020-381,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mantap juosssss,5.0,Mie Gacoan lv 1 - Lumpia Udang - Udang Keju,Ordered on 31 May 2023,1,Baik,,
1701446020-382,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mantap, gurih pedas",5.0,Mie Gacoan lv 2 - Es Teklek - Siomay,Ordered on 31 May 2023,1,Baik,,
1701446020-383,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Enak, fresh kebersihannya terjaga",5.0,Mie Hompimpa lv 3 - Mie Gacoan lv 2 - Udang Keju - Pangsit,Ordered on 30 May 2023,1,Baik,,
1701446020-384,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Setiap beli minta ga pake bawang goreng,tapi pas dateng malah pake bawang goreng semua.",1.0,Mie Gacoan lv 0 - Mie Gacoan lv 1 - Udang Keju - Siomay,Ordered on 30 May 2023,0,Buruk,,
1701446020-385,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"yang satu saya makan rasanya seperti biasanya, yang satunya lagi assiiinn parah, entah ketumpahan gak tau",3.0,Mie Hompimpa lv 2,Ordered on 27 May 2023,0,Buruk,,
1701446020-386,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Pesen lv 4 dikirim nggk pedes sama sekali😡😡😡🤬🤬🤬🤬🤬🤬,2.0,Mie Hompimpa lv 4 - Lumpia Udang,Ordered on 29 May 2023,0,Buruk,,
1701446020-387,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,udangnya enak banget. mienya gaada rasaa samsek:(,1.0,Udang Keju - Mie Suit - Pangsit,Ordered on 24 May 2023,0,Buruk,,
1701446020-388,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Terimakasih pelayanannya,5.0,Mie Hompimpa lv 2,Ordered on 28 May 2023,1,Baik,,
1701446020-389,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,porsi dan saos dimsum kurang😁,4.0,Mie Gacoan lv 8 - Udang Rambutan,Ordered on 26 May 2023,0,Buruk,,
1701446020-390,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,level satu pedesnya uda kayak level 3 . fullcabeeee,3.0,Mie Gacoan lv 1 - Es Gobak Sodor,Ordered on 27 May 2023,0,Buruk,,
1701446020-391,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,gak dikasih sumpit gimana makannya,4.0,Mie Gacoan lv 1 - Mie Hompimpa lv 2 - Mie Hompimpa lv 1 - Pangsit - Udang Keju,Ordered on 26 May 2023,0,Buruk,,
1701446020-392,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,kurang fokus pelayannya kayanya,3.0,Mie Suit - Udang Keju - Lumpia Udang,Ordered on 25 May 2023,0,Buruk,,
1701446020-393,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rate nya 100 .. mantull,5.0,Mie Suit - Mie Gacoan lv 4 - Mie Gacoan lv 3 - Es Sluku Bathok,Ordered on 21 May 2023,1,Baik,,
1701446020-394,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"semakin hari bentuk somay nya g karu""an mie terlalu lembek berair",4.0,Mie Gacoan lv 0 - Siomay - Mie Gacoan lv 1,Ordered on 24 May 2023,0,Buruk,,
1701446020-395,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"sumpah gilak mie gacoan level 8 buat gue mampus makannya,terbaik pokok buat mie gacoan hehe",5.0,Mie Gacoan lv 8,Ordered on 23 May 2023,1,Baik,,
1701446020-396,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mie nya enakk bngett kyk biasanya rasanya slalu passs and poll kerasa bngt bumbu+cabe nya, ak pesen 2, tp td syng ad yg pangsit ny isi 1 aja, pdhl yg stu ny lgi ada 2",4.0,Mie Hompimpa lv 1 - Mie Hompimpa lv 4,Ordered on 23 May 2023,1,Baik,,
1701446020-397,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak mas lue soale..,5.0,Mie Gacoan lv 3,Ordered on 23 May 2023,1,Baik,,
1701446020-398,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak bangettttttttttt,5.0,Mie Gacoan lv 1 - Siomay,Ordered on 23 May 2023,1,Baik,,
1701446020-399,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"rasanya enakk tapi waktu tadi psen lvel 4 ga sepedas yang waktu itu beli, ini kayak level 2 ehe",5.0,Mie Hompimpa lv 4 - Orange,Ordered on 23 May 2023,0,Buruk,,
1701446020-400,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,sangat memuaskAnn,5.0,Mie Hompimpa lv 4 - Lumpia Udang - Orange,Ordered on 22 May 2023,1,Baik,,
1701446020-401,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,menurutku sampe saat ini mie gacoan mie paling enak dari berbagai mie yg serupa tp rasaa gacoan juaraa,5.0,Mie Gacoan lv 1 - Siomay - Udang Rambutan,Ordered on 19 May 2023,1,Baik,,
1701446020-402,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Trims ya, atas kecepatan dalam melayani",5.0,Udang Keju - Udang Rambutan - Mie Hompimpa lv 1 - Mie Hompimpa lv 2 - Es Gobak Sodor - Lemon Tea,Ordered on 13 May 2023,1,Baik,,
1701446020-403,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Udangnya gatelll terus kek udah basi gituuu anjjj ga bkl beli lgi dh NYESAL,1.0,Udang Keju - Es Gobak Sodor,Ordered on 22 May 2023,0,Buruk,,
1701446020-404,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"porsi mie banyak, udang kejunya enak, cuma mie nya yang tadi terlalu lembek, gak kayak biasanya.",4.0,Mie Gacoan lv 3 - Mie Gacoan lv 2 - Udang Keju,Ordered on 21 May 2023,0,Buruk,,
1701446020-405,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,1. enak 2. gurih,5.0,Mie Gacoan lv 1,Ordered on 21 May 2023,1,Baik,,
1701446020-406,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,terima kasih pak,5.0,Udang Keju - Mie Gacoan lv 2 - Mie Gacoan lv 4 - Mie Gacoan lv 1,Ordered on 21 May 2023,5,Buruk,,
1701446020-407,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,banyakin lagi porsinya👍🏻,5.0,Mie Gacoan lv 4 - Mie Gacoan lv 2 - Udang Keju - Udang Rambutan,Ordered on 21 May 2023,0,Buruk,,
1701446020-408,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak dan lezat,5.0,Mie Gacoan lv 1 - Teh,Ordered on 20 May 2023,1,Baik,,
1701446020-409,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"pesan 4 mie, ada yang pangsitnya 2 ada yang cuma 1. gak jelas banget deh",3.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Mie Gacoan lv 0,Ordered on 20 May 2023,0,Buruk,,
1701446020-410,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Semoga dipertahankan,5.0,Mie Suit - Siomay,Ordered on 19 May 2023,5,Buruk,,
1701446020-411,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Mantap bosq, semoga bisa beli lagi",5.0,Mie Gacoan lv 1 - Udang Rambutan,Ordered on 19 May 2023,1,Baik,,
1701446020-412,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,oke............,5.0,Mie Hompimpa lv 1 - Pangsit,Ordered on 18 May 2023,1,Baik,,
1701446020-413,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesennya lvl 1=2 lvl 0=2 lah tpi kok yang dikirim lvl 1=1 lvl 0=3,5.0,Mie Gacoan lv 0 - Mie Gacoan lv 1,Ordered on 18 May 2023,0,Buruk,,
1701446020-414,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mie gacoannya enak, tapi yang hompimpa asli hambar banget gaada pedesnya juga",3.0,Mie Hompimpa lv 4 - Mie Gacoan lv 4,Ordered on 19 May 2023,0,Buruk,,
1701446020-415,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,bukan mie hompimpa,1.0,Mie Hompimpa lv 4 - Lumpia Udang - Es Gobak Sodor,Ordered on 11 May 2023,0,Buruk,,
1701446020-416,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Mintak lvl 3 dikasih lvl 2 😔,2.0,Mie Gacoan lv 1 - Mie Gacoan lv 3 - Udang Keju,Ordered on 18 May 2023,0,Buruk,,
1701446020-417,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,semoga rezekinya lancar trus,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2,Ordered on 18 May 2023,5,Buruk,,
1701446020-418,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mantap banget bos,5.0,Mie Gacoan lv 8 - Udang Rambutan,Ordered on 18 May 2023,1,Baik,,
1701446020-419,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mksih yaaaaaaaaaaaaaaaa,5.0,Mie Gacoan lv 0 - Udang Rambutan - Lumpia Udang - Teh,Ordered on 17 May 2023,5,Buruk,,
1701446020-420,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,LAMA BANGET  UDAH KELAPERAN😭😭😭😭😭,2.0,Mie Gacoan lv 2 - Mie Gacoan lv 1 - Udang Rambutan - Udang Keju - Orange - Thai Green Tea,Ordered on 17 May 2023,0,Buruk,,
1701446020-421,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Saya pesan 2 thai tea dan keduanya rasanya ga manis, mienya juga terlalu matang jadi lembek. Semoga bisa diperbaiki lagi",1.0,Mie Gacoan lv 1 - Thai Tea Ori - Udang Rambutan - Udang Keju,Ordered on 14 May 2023,0,Buruk,,
1701446020-422,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Siomay kurang matang,3.0,Mie Hompimpa lv 1 - Siomay,Ordered on 15 May 2023,0,Buruk,,
1701446020-423,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak banget hehe,5.0,Udang Rambutan - Mie Gacoan lv 2 - Mie Gacoan lv 0 - Udang Keju,Ordered on 15 May 2023,1,Baik,,
1701446020-424,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"pesan tidak pedas, datangnya pedas, bahkan terlihat jelas potongan cabenya. kalau memang ga bisa buat menu ga pedas, hapus aja deh menu yang tidak pedasnya daripada buat kecewa. belum lagi ukuran siomay dan udang kejunya jadi lebih kecil daripada terakhir order. entah siapa yang salah",3.0,Mie Gacoan lv 0 - Udang Keju - Siomay - Teh,Ordered on 10 May 2023,0,Buruk,,
1701446020-425,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,yummy..  guring manis. pedes,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 6 - Udang Rambutan,Ordered on 14 May 2023,1,Baik,,
1701446020-426,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,tambahin lagi porsinya,5.0,Mie Suit,Ordered on 11 May 2023,0,Buruk,,
1701446020-427,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,gacoan emang terbaik,5.0,Mie Gacoan lv 2 - Udang Rambutan - Udang Keju,Ordered on 11 May 2023,1,Baik,,
1701446020-428,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mienya tambah dikit trs aku pesen level 1 pedess bangett gk kyk biasanya,4.0,Mie Gacoan lv 1 - Mie Suit,Ordered on 11 May 2023,0,Buruk,,
1701446020-429,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"pelit banget tiap order minta tambah extra sambal aja ga pernah dikasih saya juga pengalaman di FNB tiap ada customer beli online , request minta extra sambal pasti dikasih karena kita di bidang jasa , mengutamakan kepuasan customer agar customer puas dan mau beli lagi",1.0,Mie Gacoan lv 3 - Udang Rambutan - Es Gobak Sodor,Ordered on 11 May 2023,0,Buruk,,
1701446020-430,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,porsi banyak bikin candu pesen lagi 💯🤩,5.0,Udang Keju - Thai Tea Ori - Mie Gacoan lv 2,Ordered on 11 May 2023,1,Baik,,
1701446020-431,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Tambah kecil porsi ikan nya. Mienya tambah tipis. Berkurang kualitasnya.,3.0,Mie Hompimpa lv 3 - Mie Suit,Ordered on 16 March 2023,0,Buruk,,
1701446020-432,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,porsinya agak berkurang sedikit  🤭. tp not bad lah.,5.0,Mie Hompimpa lv 2 - Mie Gacoan lv 0 - Mie Gacoan lv 3 - Udang Keju,Ordered on 10 May 2023,1,Baik,,
1701446020-433,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Cuma agak beda bungkusnya sama yg di jakarta,4.0,Mie Hompimpa lv 3 - Mie Gacoan lv 1 - Mie Gacoan lv 2,Ordered on 10 May 2023,0,Buruk,,
1701446020-434,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mie nya belum matang,1.0,Mie Gacoan lv 2 - Mie Gacoan lv 1 - Lumpia Udang - Orange,Ordered on 8 May 2023,0,Buruk,,
1701446020-435,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"pesen level 1 tapi yang dateng cabenya buanyak, gatau dah dikasih level berapa ituu",3.0,Mie Gacoan lv 1 - Udang Keju - Udang Rambutan,Ordered on 8 May 2023,0,Buruk,,
1701446020-436,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mantap banget ok,5.0,Mie Gacoan lv 1,Ordered on 6 May 2023,1,Baik,,
1701446020-437,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,t o p semoga sukses selalu,5.0,Mie Gacoan lv 0,Ordered on 6 May 2023,1,Baik,,
1701446020-438,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Wuuueenaaaq bgt...,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Mie Gacoan lv 4 - Udang Rambutan - Lumpia Udang,Ordered on 6 May 2023,1,Baik,,
1701446020-439,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasanya berubah anjir gak enak hambar mie overcook dah 2x beli rasanya sama gk enaknya cabang lain perasaan stabil2 aja,2.0,Mie Gacoan lv 4 - Udang Keju,Ordered on 3 May 2023,0,Buruk,,
1701446020-440,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,minuman agak hambar,5.0,Mie Gacoan lv 2 - Udang Keju - Coklat,Ordered on 6 May 2023,0,Buruk,,
1701446020-441,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,minumannya agak hambar,4.0,Mie Gacoan lv 3 - Thai Tea Ori,Ordered on 5 May 2023,0,Buruk,,
1701446020-442,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"pesen 2 mie tapi yang satu ancur banget kayak kebanyakan minyak, minyak nya sampe tumpah tumpah, dari porsi mie nya juga beda kayak dikit sedangkan yg satunya banyak banget, sumpitnya rusak atasnya patah bawahnya kayak ga rata rusak² tapi rasanya tetep oke sih cuma di kemasan, porsi, sama alat makan aja",3.0,Mie Gacoan lv 0 - Mie Gacoan lv 1,Ordered on 5 May 2023,0,Buruk,,
1701446020-443,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,makannya tambah mahal,3.0,Mie Hompimpa lv 3 - Mie Gacoan lv 3 - Lumpia Udang - Thai Green Tea - Udang Rambutan - Siomay,Ordered on 5 May 2023,0,Buruk,,
1701446020-444,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasa mienya agak kecut,2.0,Mie Gacoan lv 3 - Orange - Coklat,Ordered on 5 May 2023,0,Buruk,,
1701446020-445,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,kekeliruan penulisan level sampe adek saya nangis makannya. lain kali lebih diperhatikan,2.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Mie Gacoan lv 4 - Lumpia Udang,Ordered on 5 May 2023,0,Buruk,,
1701446020-446,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,ga enakkkk sumpak jemekk parahh,5.0,Mie Gacoan lv 1,Ordered on 4 May 2023,0,Buruk,,
1701446020-447,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"salah pesanan, klo misal habis atau gmn sebaiknya di tulis tidak tersedia saja, bukan ganti pesanan",1.0,Mie Gacoan lv 1 - Udang Keju - Lumpia Udang - Lemon Tea - Air Mineral,Ordered on 4 May 2023,0,Buruk,,
1701446020-448,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,extra sausnya gak dikasih padahal udah note,3.0,Mie Gacoan lv 0 - Mie Gacoan lv 2 - Mie Gacoan lv 1 - Udang Keju - Udang Rambutan,Ordered on 4 May 2023,0,Buruk,,
1701446020-449,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"kurang fokus, utk level 0 tapi masih ada rasa pedasnya karena yang makan anak kecil",4.0,Udang Rambutan - Lumpia Udang - Mie Gacoan lv 0 - Mie Gacoan lv 2,Ordered on 4 May 2023,0,Buruk,,
1701446020-450,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mantap banget kok,5.0,Mie Gacoan lv 0 - Mie Gacoan lv 1 - Mie Gacoan lv 2,Ordered on 2 May 2023,1,Baik,,
1701446020-451,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mie nya lembek terus rasanya cuma pedes aja dari cabenya gada gurih""nya untung aja pesan sama udang keju jdi ada yg bisa dimakan, komplain ke pusat no respon hadehhh kecewa bgt 👎👎",1.0,Mie Hompimpa lv 1 - Udang Keju,Ordered on 4 May 2023,0,Buruk,,
1701446020-452,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mkasii ya,cewe saya suka masakanya",5.0,Mie Gacoan lv 2,Ordered on 3 May 2023,1,Baik,,
1701446020-453,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasanya gak se wow antrian nya,3.0,Udang Keju - Mie Hompimpa lv 2 - Mie Gacoan lv 2,Ordered on 2 May 2023,0,Buruk,,
1701446020-454,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Sayang deh sm yang masak,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Udang Keju,Ordered on 1 May 2023,5,Buruk,,
1701446020-455,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mantap sekali chef,5.0,Udang Keju - Lumpia Udang - Siomay - Mie Gacoan lv 1 - Mie Gacoan lv 6,Ordered on 1 May 2023,1,Baik,,
1701446020-456,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mantap, tapi mungkin ada sedikit miss, ketika menu yang sama tapi 1 g ada cabe/pedas sama sekali, 1 lagi pedas/ada cabe.",5.0,Mie Gacoan lv 0 - Mie Gacoan lv 1 - Mie Hompimpa lv 1 - Udang Rambutan,Ordered on 23 April 2023,0,Buruk,,
1701446020-457,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mie terlalu jemek,2.0,Mie Gacoan lv 0,Ordered on 4 April 2023,0,Buruk,,
1701446020-458,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mantap betul , gurih dan pedas",5.0,Mie Hompimpa lv 8 - Udang Keju,Ordered on 1 May 2023,1,Baik,,
1701446020-459,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,kalo ngasih nama pesanan yg benar ya. punya saya jadi tertukar sama yg lain,2.0,Mie Gacoan lv 2 - Udang Keju - Mie Suit - Mie Gacoan lv 4 - Mie Gacoan lv 1,Ordered on 30 April 2023,0,Buruk,,
1701446020-460,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Level 1 seperti level 5. Ga sekalian diracun level 8 saja,2.0,Mie Gacoan lv 1 - Thai Green Tea - Udang Keju - Mie Hompimpa lv 1,Ordered on 30 April 2023,0,Buruk,,
1701446020-461,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Ter endulll pokok nya,5.0,Mie Gacoan lv 8 - Mie Hompimpa lv 8 - Udang Keju - Udang Rambutan,Ordered on 30 April 2023,1,Baik,,
1701446020-462,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesan menu yg di kirim lain menu yg di beli,1.0,Mie Hompimpa lv 1 - Mie Gacoan lv 8 - Lumpia Udang,Ordered on 25 April 2023,0,Buruk,,
1701446020-463,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Psn gacoan lvl 0 dikasi level pedas banget.,1.0,Mie Gacoan lv 0 - Siomay - Udang Rambutan,Ordered on 29 April 2023,0,Buruk,,
1701446020-464,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Gcoan emang gaada obat. Mantap,5.0,Mie Gacoan lv 6 - Mie Hompimpa lv 1,Ordered on 29 April 2023,1,Baik,,
1701446020-465,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,bagus enak,5.0,Mie Gacoan lv 2 - Mie Gacoan lv 3 - Udang Keju,Ordered on 29 April 2023,1,Baik,,
1701446020-466,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak poll rasanya pass,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Mie Gacoan lv 4,Ordered on 29 April 2023,1,Baik,,
1701446020-467,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pengiriman fast,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2,Ordered on 29 April 2023,1,Baik,,
1701446020-468,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,tutup buat minumannya tumpah,2.0,Mie Gacoan lv 1 - Milo,Ordered on 29 April 2023,0,Buruk,,
